PathDist	MaxDist
27.138847	4.0189266
44.490063	7.4412246
37.451675	10.598475
47.336445	10.487141
48.151543	8.623316
52.68067	15.871425
49.09716	8.757414
55.308678	23.529148
57.18873	19.468105
43.733097	7.420556
54.717598	4.7813673
60.87294	18.316833
61.15307	10.008465
54.216106	13.868076
60.75227	10.48118
57.395664	8.294238
58.991978	6.545758
62.501003	14.356462
60.470886	14.008555
60.770203	18.982716
64.15879	8.989185
43.809288	8.287676
69.05166	11.284965
62.634876	15.337848
55.575653	11.696408
62.109512	22.503525
64.71984	13.028886
69.48843	12.087213
70.47036	11.353653
68.38884	13.180646
70.16952	10.059106
68.94753	19.6804
70.75551	16.598242
72.35708	22.58375
73.216515	10.696997
72.29754	19.102207
67.59743	16.519642
60.85872	14.0744915
72.04039	16.847017
68.56522	24.115255
71.092064	9.910642
68.417786	8.449998
78.256805	17.77223
79.47864	21.642645
74.727	10.168547
66.771614	6.973393
75.85854	15.7843485
69.38761	10.960674
77.715454	13.081507
70.071175	8.817825
73.282	8.19154
63.361176	9.378075
74.41467	19.763906
77.230606	16.083876
79.632195	20.661243
69.05353	12.351505
80.597855	9.058019
79.38995	9.550869
80.89751	9.976551
79.78526	26.413315
79.54788	10.359223
80.2969	19.820208
75.00219	14.739848
82.05558	24.342907
73.847115	15.164807
81.53555	13.241164
75.576706	15.243949
84.97682	26.619772
79.720055	17.830807
80.76376	8.06298
86.710434	17.725868
75.3539	19.447302
82.70145	13.645166
78.08505	16.68504
83.90488	16.15996
79.18506	20.89577
81.04198	11.380846
85.46959	18.09209
83.364334	13.605104
80.17721	25.983429
78.839294	18.161898
85.0081	17.089876
83.48235	16.433455
80.08546	25.531141
83.84876	24.232332
78.270355	21.980217
81.95115	20.441578
87.31101	11.2064705
80.60628	7.923052
83.74998	12.66232
85.39938	20.651276
86.26	10.547163
78.41004	10.498075
82.65166	12.179571
81.83894	12.70859
84.39259	9.278362
86.30838	29.143036
88.62935	14.792787
85.760895	11.469238
86.420525	13.475971
87.66165	19.398958
87.30391	15.1937275
81.54506	34.860516
89.65535	15.182191
87.2139	11.432802
93.96787	24.095184
88.593094	20.232178
83.178764	6.8037643
83.29921	10.934074
83.10773	17.13157
82.7913	11.606953
80.35628	8.452685
89.00295	20.675951
88.3521	10.614745
88.61938	10.094645
84.26308	11.065147
91.13485	28.230093
95.625145	16.88255
91.815445	35.170025
93.5389	25.770147
91.72082	18.664206
87.64213	19.08071
86.476875	10.26071
88.723755	20.637436
92.93285	11.930184
89.28417	9.660867
90.474495	12.993778
89.7181	12.9446745
89.72812	15.578969
93.46562	8.742943
87.75051	25.48612
92.14531	14.74362
91.46579	12.311291
98.21639	14.231112
88.35713	17.109566
91.9092	16.577362
97.66583	17.435698
93.84295	25.787994
94.89129	23.685389
90.09346	19.17141
96.122894	16.697577
98.57542	13.990769
92.91451	25.519512
95.82171	33.614666
91.61308	17.347317
93.09181	19.7942
88.97156	19.053514
99.204865	21.711348
91.26449	12.137337
92.88977	7.8037276
103.59771	21.489075
99.08254	24.867908
90.120445	17.55678
100.59768	15.296245
92.62826	10.779748
91.010376	28.90915
99.63658	20.54793
100.427376	23.881166
98.31755	24.862257
98.3346	14.524925
98.118034	17.407442
94.67418	24.539577
91.35608	16.694304
95.32257	18.5271
100.040634	16.276186
96.848236	22.44562
89.53298	18.675102
101.541885	10.264328
94.91734	21.839186
93.824715	15.31653
83.198326	6.691296
100.61176	18.291798
100.928116	14.373492
100.60291	10.33708
95.29977	13.672364
101.91262	34.25025
93.46932	22.897795
101.34398	14.808547
95.27626	16.928396
99.53763	21.201546
94.62705	20.194952
97.91875	13.19898
99.900665	23.694374
100.656784	13.287784
98.669876	14.220012
100.613785	24.474804
100.08973	31.410028
101.77372	22.87741
99.21177	8.910084
104.29042	13.929881
97.33978	21.897923
100.816734	21.24232
102.2209	25.352148
90.2619	15.809221
95.58069	8.427307
100.329796	29.660156
99.93395	23.428778
100.10515	34.87499
101.14971	16.904825
100.79884	16.027325
88.328926	12.048381
100.81936	27.40775
100.06955	16.479574
100.450096	13.867503
95.216064	15.889492
95.82163	8.925412
102.218475	14.822736
100.55312	18.671495
101.17729	12.282124
100.54311	16.960482
100.87687	27.97028
96.53881	11.478113
102.07443	14.73144
100.36023	23.908203
100.21178	24.692831
100.48533	19.521643
100.469246	15.065081
100.805695	15.658373
98.04517	24.607246
100.19827	18.695692
103.84943	21.920563
92.981155	14.034737
95.34398	15.386185
92.61183	15.051748
101.44799	21.39143
100.06501	19.259243
100.287636	17.192047
100.392845	35.899292
100.71525	14.787398
100.02127	12.945132
100.32481	29.147886
100.34229	15.901998
99.81596	15.2007065
104.82424	12.730329
101.273926	18.526312
105.00099	26.427849
100.54433	16.007992
100.44087	13.50825
100.13081	21.567795
100.12563	11.279931
100.62749	24.599348
98.505974	38.183487
98.545815	23.356834
100.16568	29.47655
100.207405	30.097092
100.32544	23.175274
99.41643	20.72105
104.69686	19.683403
98.92136	20.959784
102.02539	18.27214
100.221855	22.049822
97.930984	19.087667
103.60112	14.253328
100.2565	20.855778
100.86215	13.51598
100.249504	20.95487
101.29113	21.12118
100.059235	17.958311
108.520805	25.36854
100.04256	20.191647
100.58574	27.52447
104.83582	15.381942
103.74828	11.756692
103.950615	24.251348
103.03192	14.524517
103.61029	18.004927
105.51119	16.291967
100.88354	26.11769
99.94076	15.256864
100.31707	13.503908
100.28429	8.880134
105.27428	20.758291
100.31922	12.88793
100.02159	16.844154
107.41666	10.626659
102.868256	12.573727
104.24398	16.888926
96.162834	24.13918
106.11431	24.664053
102.58726	13.924972
96.19343	15.376462
96.16964	14.681115
100.27706	18.665936
97.799934	11.03542
100.13595	19.787615
107.790054	17.077488
100.09092	13.468926
100.57026	12.862912
100.75511	36.73847
105.09861	20.175034
100.07111	22.33649
100.16242	24.49402
101.59571	23.565002
110.36422	12.202027
100.06776	22.430311
100.39224	16.835424
102.981926	33.79675
100.352104	19.573662
101.050446	14.365156
106.415344	16.41851
100.220116	31.0733
100.50034	18.405218
100.17499	22.467894
100.061386	16.081032
107.076996	24.334265
104.44371	20.524036
100.40506	15.2359495
100.44289	14.053425
106.70041	15.454123
100.21789	10.543224
105.70529	10.536959
100.5638	22.688246
107.87494	17.888884
99.797676	22.51203
108.63928	8.442761
100.619576	22.206099
96.486565	30.14662
104.808876	16.894701
104.1902	13.674699
100.77288	7.856904
100.31351	10.173365
103.71628	9.447893
103.31897	18.130133
100.32661	13.363346
108.11688	11.940533
100.136024	19.577688
106.82377	14.368362
103.42745	29.945374
100.020584	28.378796
110.13477	18.553286
108.48753	19.00596
100.31724	23.19241
107.26691	21.43824
108.68615	13.048756
100.80624	24.67262
96.46352	20.770075
100.343994	17.844318
115.17466	17.151531
100.41907	13.596786
105.09799	23.413702
100.23548	30.936728
112.686745	22.605259
105.89125	17.234137
103.17829	15.829516
100.01398	17.148054
102.306465	11.4770155
105.43238	21.48601
102.39517	23.559069
109.7604	15.475837
108.09327	15.514309
100.144356	22.910519
111.68295	30.319548
109.4501	25.156885
100.13072	23.9737
112.953514	16.595562
107.35418	9.710136
105.23188	15.72194
104.5359	17.182236
107.45335	38.379093
113.52103	19.326414
116.50734	14.8297
111.90273	21.0152
110.11208	16.945507
113.59009	30.833427
112.75849	11.327777
111.21084	22.536642
112.71833	26.432611
110.09876	21.474575
110.19154	19.807085
111.11373	10.5603
113.038506	44.109306
113.05158	25.184875
111.466385	12.329333
112.23254	35.35607
111.52288	23.905094
115.120346	22.000185
115.34093	14.514746
100.54995	17.657017
108.25279	26.051275
113.5233	16.177143
110.7565	23.297638
111.047165	21.962694
114.473694	27.776907
106.66463	10.709409
119.344734	17.922655
115.987045	23.461105
121.77196	19.32979
112.30457	24.28016
108.91026	30.200123
115.29001	17.958334
113.10318	11.7255535
106.85461	14.1396
113.54556	10.571241
116.95392	26.12106
108.333374	10.285632
114.43978	16.92052
111.19882	21.171091
116.840004	16.453758
110.33506	23.666874
112.498856	18.263222
