PollenDist	MaxPollenDist	WDivFathers
NaN	0.0	NaN
NaN	0.0	NaN
NaN	0.0	NaN
NaN	0.0	NaN
5.878769	12.280168	0.38842976
4.8915534	4.8915534	1.0
9.195205	9.195205	1.0
NaN	0.0	NaN
2.5953236	18.943653	0.74489796
7.351836	7.351836	1.0
8.07911	8.07911	1.0
15.520163	15.520163	1.0
2.3088636	9.060469	0.66
NaN	0.0	NaN
7.3951864	16.0	0.5510204
8.686425	8.686425	1.0
NaN	0.0	NaN
14.096764	14.096764	1.0
3.7071335	3.7071335	1.0
3.0382512	3.0382512	1.0
4.0792565	4.0792565	1.0
6.2016134	7.4083924	0.5
NaN	0.0	NaN
10.305893	12.557467	0.75510204
NaN	0.0	NaN
NaN	0.0	NaN
3.0795135	7.4083924	0.8347107
6.6314206	6.6314206	1.0
8.178874	15.89337	0.2777778
NaN	0.0	NaN
2.4500263	10.02919	0.8472222
8.104308	11.557077	0.3888889
3.022818	4.3598366	0.5041322
7.815953	7.815953	1.0
NaN	0.0	NaN
8.313926	12.548594	0.5
7.164753	7.164753	1.0
5.2612867	6.2472434	0.60330576
11.317003	20.373446	0.25
8.987582	18.049576	0.22222222
NaN	0.0	NaN
7.301558	7.301558	1.0
9.210647	15.751165	0.3888889
5.9575095	5.9575095	1.0
NaN	0.0	NaN
NaN	0.0	NaN
9.391796	9.391796	1.0
1.7610118	1.7610117	1.0
10.281539	10.281539	1.0
15.744722	20.513372	0.44
7.3082314	7.3082314	1.0
8.334641	8.334641	1.0
8.531384	14.69707	0.3877551
6.218539	12.280168	0.44
9.817936	13.061202	0.36
3.4293623	4.9948344	0.5555556
3.373247	8.322199	0.75510204
8.28571	14.3090725	0.5
9.930631	9.930631	1.0
9.909815	9.909815	1.0
5.7964563	7.036029	0.5
1.4625273	1.4625273	1.0
13.683818	30.558825	0.33333334
6.862051	26.51948	0.3888889
5.3009	18.195072	0.61245674
2.0556247	8.38063	0.7222222
7.4073405	7.4073405	1.0
8.039132	8.039132	1.0
4.5563045	5.7330194	0.60330576
3.1457107	10.994641	0.8755556
17.832792	17.832792	1.0
NaN	0.0	NaN
7.4774795	11.23569	0.7222222
4.8122907	10.733527	0.47959185
3.0382514	3.0382512	1.0
7.616589	7.6165895	1.0
5.0184894	5.3637753	0.7222222
6.918517	13.418685	0.52
12.465369	12.465369	1.0
NaN	0.0	NaN
0.7684217	0.76842177	1.0
NaN	0.0	NaN
9.394583	12.431717	0.375
NaN	0.0	NaN
3.399738	3.399738	1.0
5.2033186	13.15941	0.50222224
3.7071338	3.7071335	1.0
7.0430274	13.141676	0.7222222
7.96621	9.427133	0.5138889
3.6724918	3.6724918	1.0
4.773053	7.151123	0.390625
3.1058946	3.1058946	1.0
6.568684	11.726705	0.5
9.341925	13.470445	0.5
NaN	0.0	NaN
7.487776	7.712981	0.625
12.7088585	12.7088585	1.0
6.3091273	6.3091273	1.0
5.096165	5.096165	1.0
NaN	0.0	NaN
5.096165	5.096165	1.0
4.864235	4.864235	1.0

NaN	0.0	NaN
5.6688385	5.6688385	1.0
NaN	0.0	NaN
6.2198405	6.3536158	0.7083333
2.5886216	2.5886216	1.0
10.1384325	13.510276	0.5
NaN	0.0	NaN
5.183977	14.136245	0.36
4.3125467	4.3125467	1.0
10.87422	10.87422	1.0
6.5302997	13.96509	0.42222223
NaN	0.0	NaN
2.199914	2.4296694	0.7222222
5.039525	5.039525	1.0
8.277784	13.029226	0.44
22.534449	22.534449	1.0
5.76845	16.0	0.625
9.560979	22.627417	0.5555556
8.354248	11.114141	0.46875
NaN	0.0	NaN
4.466079	5.286947	0.68
1.8490729	1.8490729	1.0
7.986858	9.418427	0.5
NaN	0.0	NaN
