PollenDist	MaxPollenDist	WDivFathers
8.292797	17.768942	0.38271606
15.61417	20.826597	0.34375
NaN	0.0	NaN
5.8058023	13.68757	0.3265306
7.0524592	10.208136	0.625
5.1522865	19.953142	0.3633218
21.473604	40.482506	0.3125
NaN	0.0	NaN
12.230991	19.050512	0.5363322
16.153679	25.067085	0.3148148
5.137137	5.137137	1.0
18.678738	32.0	0.44
NaN	0.0	NaN
19.386143	31.28085	0.28
9.814045	9.814045	1.0
16.071297	16.12477	0.5102041
9.2920065	9.2920065	1.0
NaN	0.0	NaN
22.627417	22.627417	1.0
NaN	0.0	NaN
8.536157	8.536157	1.0
11.103833	16.545153	0.5
16.712442	16.712442	1.0
16.0	16.0	1.0
16.0	16.0	1.0
NaN	0.0	NaN
18.901743	27.926514	0.28
NaN	0.0	NaN
18.458204	22.07483	0.5
NaN	0.0	NaN
5.9542937	16.437017	0.30612245
22.65328	22.65328	1.0
22.269047	27.918129	0.40625
8.14524	18.816137	0.26
NaN	0.0	NaN
11.4882145	13.851682	0.625
13.346447	13.346447	1.0
22.00747	37.41947	0.5
4.106709	7.3307295	0.8472222
5.138465	14.986571	0.5510204
20.147064	56.16229	0.23076923
10.888326	10.888326	1.0
NaN	0.0	NaN
14.997054	17.045374	0.625
12.595934	12.595934	1.0
3.739002	19.320648	0.64285713
12.679635	12.679635	1.0
NaN	0.0	NaN
9.418966	31.876974	0.3580247
5.4207373	5.662514	0.80246913
6.913355	18.410961	0.3372781
12.858651	47.06495	0.37716264
NaN	0.0	NaN
6.9951553	10.41105	0.5
17.371798	37.608356	0.2
16.385355	29.248032	0.28
12.197761	12.197761	1.0
10.263496	11.758855	0.33333334
12.143809	24.793318	0.28
10.2696295	10.2696295	1.0
NaN	0.0	NaN
15.476057	31.110748	0.34
12.767467	12.767467	1.0
20.384909	20.384909	1.0
26.393433	26.393433	1.0
7.847867	12.815709	0.3877551
9.814308	24.95218	0.3469388
11.849998	13.579668	0.5555556
10.60716	12.661355	0.5
NaN	0.0	NaN
8.536157	8.536157	1.0
7.6823645	31.849733	0.2734375
2.7981408	2.798141	1.0
11.637299	27.185345	0.5555556
11.619484	29.676847	0.5510204
4.6722937	5.5499177	0.625
12.212723	31.654282	0.3553719
14.219387	14.219387	1.0
11.708122	11.708122	1.0
13.441697	38.32891	0.20634921
12.713677	29.813154	0.45454547
24.984707	33.11545	0.44
3.3733172	10.832951	0.86734694
19.78135	19.78135	1.0
NaN	0.0	NaN
5.4338613	5.650834	0.75510204
11.982331	24.93039	0.20987654
18.828173	20.328514	0.42857143
2.8568485	2.8568482	1.0
15.770043	19.117622	0.5555556
11.892495	11.892495	1.0
11.213895	12.240898	0.5555556
17.596699	20.026232	0.5
13.349219	15.6001835	0.59183675
21.407427	23.230255	0.33333334
13.409384	24.209543	0.30177516
12.419252	17.19862	0.52
8.165365	17.624186	0.625
16.795288	23.263855	0.375
1.2167351	1.2167351	1.0
10.045262	10.045262	1.0
6.972004	15.60785	0.44

13.268124	13.447946	0.625
16.64705	20.318829	0.5
13.354065	17.6849	0.5555556
10.664032	15.695991	0.5
14.852498	15.577453	0.5555556
6.3107777	17.692936	0.375
14.920827	22.627417	0.18055555
NaN	0.0	NaN
NaN	0.0	NaN
10.41189	14.082448	0.3469388
NaN	0.0	NaN
17.10457	22.627417	0.5
11.635981	16.0	0.625
3.3714027	3.3714027	1.0
13.709191	20.20906	0.23966943
16.0	16.0	1.0
6.680871	6.680871	1.0
4.9808006	13.557207	0.3125
14.096716	16.0	0.44
17.140848	20.038387	0.5555556
NaN	0.0	NaN
9.978727	11.885846	0.33333334
NaN	0.0	NaN
NaN	0.0	NaN
16.725307	18.175924	0.5555556
19.848871	35.25731	0.54
NaN	0.0	NaN
6.3458266	23.202507	0.553719
10.498405	15.017656	0.5
21.74486	21.74486	1.0
6.2572913	15.014813	0.38271606
18.878126	18.878126	1.0
NaN	0.0	NaN
9.397558	17.11297	0.3877551
11.943573	16.89352	0.3888889
12.077293	12.077293	1.0
9.857432	32.800274	0.31944445
12.518256	19.995853	0.3580247
16.139692	16.139692	1.0
NaN	0.0	NaN
9.281221	17.397419	0.28125
7.663508	20.218992	0.38
NaN	0.0	NaN
8.280634	8.280634	1.0
NaN	0.0	NaN
12.209831	21.572596	0.3888889
19.561808	44.449726	0.2361111
8.846825	9.00138	0.5
17.84005	31.37567	0.33333334
5.4973297	14.351734	0.5
NaN	0.0	NaN
10.037155	10.037155	1.0
6.891626	17.189953	0.66
9.743992	13.940358	0.42
13.327295	15.667696	0.375
6.7467213	6.7467213	1.0
10.229194	17.41607	0.5510204
15.629962	22.418009	0.5555556
6.1689544	24.94138	0.5972222
7.5353255	15.247279	0.6859504
6.1088924	6.8412375	0.5
14.094046	15.014813	0.5
10.665644	14.396816	0.7222222
10.181307	10.181307	1.0
2.7300746	2.7300746	1.0
22.638824	29.869247	0.375
14.067144	18.578903	0.625
17.565182	27.122002	0.25
12.064104	22.865896	0.26
15.53444	19.998823	0.5555556
NaN	0.0	NaN
6.2127934	16.110243	0.3125
2.7125125	3.5338426	0.625
15.448227	29.243614	0.3515625
4.882547	4.882547	1.0
10.834348	15.541146	0.5555556
17.037994	17.037994	1.0
14.685495	20.83994	0.36
11.097134	11.097134	1.0
24.29664	32.244503	0.5555556
22.45855	29.790611	0.5
22.456232	37.015854	0.33333334
7.017198	13.250079	0.44
15.199802	22.647463	0.25619835
36.076687	36.076687	1.0
20.532923	20.532923	1.0
NaN	0.0	NaN
9.870611	21.063885	0.32
9.817768	13.65686	0.28125
6.610467	16.764656	0.40625
14.602332	14.602332	1.0
NaN	0.0	NaN
10.912786	12.897744	0.34375
10.473807	14.78873	0.625
10.604498	19.873125	0.28
22.126888	41.351234	0.30612245
6.2744985	8.989907	0.42857143
9.035501	9.0355015	1.0
9.3716	10.02782	0.68
NaN	0.0	NaN
13.223227	17.419348	0.28125
7.2649374	9.120687	0.28125

3.995853	3.9958532	1.0
13.230123	25.845963	0.33333334
8.671718	17.09619	0.375
9.412341	9.412341	1.0
16.0	16.0	1.0
17.416931	26.025291	0.30612245
9.589673	20.164228	0.2654321
14.226907	17.558115	0.4214876
13.793997	22.017721	0.30864197
2.5848763	2.5848763	1.0
10.773225	20.374271	0.44
9.80475	9.80475	1.0
10.751267	21.58693	0.33333334
13.986749	13.986749	1.0
NaN	0.0	NaN
20.337677	25.525984	0.375
18.485521	26.278429	0.25
7.96387	14.963395	0.625
NaN	0.0	NaN
16.245655	16.982618	0.625
3.112921	3.1129212	1.0
9.734824	16.0	0.42
10.21097	10.703054	0.5555556
11.0840225	16.0	0.5
13.604242	13.604241	1.0
1.311248	1.3112481	1.0
16.124712	36.679962	0.33333334
14.74751	24.677286	0.30612245
7.7910447	18.359226	0.7222222
6.8223166	21.945126	0.5408163
17.038483	32.64524	0.2244898
24.0829	45.48639	0.88927335
20.544008	25.555475	0.36
2.9635148	2.9635148	1.0
8.325622	8.325622	1.0
10.170665	15.470934	0.68
17.856892	30.512865	0.4375
18.111494	30.944513	0.2231405
NaN	0.0	NaN
10.847508	22.271132	0.5
NaN	0.0	NaN
9.023627	24.482819	0.38842976
5.677408	5.677408	1.0
2.9912472	4.0798254	0.3633218
11.7475605	16.71386	0.44
19.256857	31.380152	0.33333334
11.336178	14.851211	0.2892562
6.761764	6.761764	1.0
11.037863	14.584226	0.42857143
5.662795	9.653645	0.5408163
13.373275	15.470934	0.5555556
5.2270827	27.047228	0.40123457
15.271376	15.271376	1.0
8.384908	8.384908	1.0
8.591969	26.043877	0.625
5.081131	16.957624	0.34375
9.954863	13.986749	0.5
17.346298	25.791033	0.5
16.82658	51.600403	0.1953125
0.644196	0.644196	1.0
12.806365	14.142081	0.5555556
9.259359	9.259359	1.0
15.3727255	18.651997	0.33333334
16.548035	25.258562	0.5
3.3312323	10.3153925	0.75510204
6.8053117	6.8053117	1.0
8.489138	18.470793	0.36
15.025466	28.214441	0.59375
4.749225	12.324446	0.654321
NaN	0.0	NaN
10.703053	10.703054	1.0
7.3906846	7.390685	1.0
22.33492	46.1918	0.5555556
9.053035	27.875023	0.3888889
