PollenDist	MaxPollenDist	WDivFathers
1.1137804	4.757814	0.7278106
NaN	0.0	NaN
5.5240607	7.075637	0.7222222
16.0	16.0	1.0
NaN	0.0	NaN
0.7493048	0.7493048	1.0
NaN	0.0	NaN
12.529843	12.529843	1.0
NaN	0.0	NaN
NaN	0.0	NaN
16.0	16.0	1.0
NaN	0.0	NaN
8.878015	8.878015	1.0
4.750484	8.552917	0.5555556
7.751554	8.455539	0.5029586
NaN	0.0	NaN
NaN	0.0	NaN
15.01198	15.01198	1.0
NaN	0.0	NaN
NaN	0.0	NaN
5.198303	5.198303	1.0
12.426399	12.426399	1.0
1.6448737	1.6448737	1.0
5.0924253	5.0924253	1.0
15.363994	15.363994	1.0
6.6971774	6.697177	1.0
3.6556933	3.6556933	1.0
NaN	0.0	NaN
7.6143956	7.6143956	1.0
3.1665976	5.705238	0.80246913
4.035055	4.035055	1.0
11.741638	12.997728	0.625
NaN	0.0	NaN
5.2934656	15.428997	0.3877551
NaN	0.0	NaN
5.9496193	10.457517	0.75510204
6.651726	16.713757	0.5510204
0.7493048	0.7493048	1.0
NaN	0.0	NaN
5.117704	10.48087	0.68
4.2104125	4.2104125	1.0
9.494744	9.494744	1.0
11.308691	11.308691	1.0
5.71492	6.150657	0.53125
6.752902	6.752902	1.0
3.9108899	3.9108899	1.0
NaN	0.0	NaN
6.0660806	8.855132	0.5555556
4.174509	4.2104125	0.68
NaN	0.0	NaN
11.275878	17.085882	0.3469388
NaN	0.0	NaN
10.8000145	10.8000145	1.0
2.4042394	2.4042392	1.0
NaN	0.0	NaN
NaN	0.0	NaN
7.3521476	8.277936	0.33333334
NaN	0.0	NaN
1.2060368	1.2060368	1.0
8.053618	13.183961	0.28125
1.7489051	1.748905	1.0
NaN	0.0	NaN
2.2578442	2.2578442	1.0
2.763619	2.7636192	1.0
8.251813	12.472731	0.5
3.6556933	3.6556933	1.0
2.3912683	6.245449	0.75510204
7.075637	7.075637	1.0
6.1875906	6.1875906	1.0
NaN	0.0	NaN
1.9311084	3.101375	0.734072
4.091203	4.6321425	0.625
NaN	0.0	NaN
NaN	0.0	NaN
7.9851885	7.9851885	1.0
5.614202	5.6142015	1.0
6.206362	6.206362	1.0
10.52447	10.52447	1.0
1.1942157	1.1942157	1.0
13.09384	13.772653	0.5
8.52963	13.054835	0.5102041
5.916928	6.1547375	0.53125
4.725528	4.725528	1.0
2.1171033	7.8871913	0.7644628
4.88416	9.433642	0.59375
NaN	0.0	NaN
2.7636192	2.7636192	1.0
NaN	0.0	NaN
3.543016	14.73144	0.3877551
NaN	0.0	NaN
8.330938	8.736298	0.5555556
4.035055	4.035055	1.0
10.79088	18.815546	0.3877551
6.005528	6.0055285	1.0
NaN	0.0	NaN
2.8802426	2.8802428	1.0
2.8802426	2.8802428	1.0
7.3832064	7.3832064	1.0
3.921918	7.1661	0.36094674
1.1942157	1.1942157	1.0
13.51629	19.940027	0.37190083
NaN	0.0	NaN

6.7170205	10.064997	0.36
9.343086	11.869065	0.5
7.9149494	7.9149494	1.0
5.1523194	5.535539	0.5138889
9.537219	9.537219	1.0
7.1510544	8.018234	0.5
NaN	0.0	NaN
7.695518	12.884115	0.5
NaN	0.0	NaN
5.6545887	5.6545887	1.0
17.894007	18.272808	0.7222222
3.215367	3.215367	1.0
NaN	0.0	NaN
NaN	0.0	NaN
NaN	0.0	NaN
NaN	0.0	NaN
13.284337	19.178568	0.5555556
7.873033	11.970729	0.3469388
5.424358	5.424358	1.0
9.91071	9.91071	1.0
24.551765	29.322805	0.5555556
11.245844	12.061121	0.5
NaN	0.0	NaN
2.0533109	2.297738	0.5555556
4.315068	6.085564	0.8579882
2.338651	2.338651	1.0
3.215367	3.215367	1.0
16.859495	22.235298	0.5
14.603154	14.603155	1.0
5.3990564	15.680893	0.2736
15.327628	15.327628	1.0
3.2581444	5.535539	0.5555556
4.833004	8.073538	0.52
16.142223	16.510708	0.68
2.4410481	2.621147	0.58
NaN	0.0	NaN
NaN	0.0	NaN
5.7985435	5.798543	1.0
6.1396155	6.3115683	0.52
5.873681	9.001167	0.50617284
5.9250135	6.6705194	0.44
NaN	0.0	NaN
3.905433	4.6625333	0.28125
NaN	0.0	NaN
4.8118544	5.0385656	0.5
7.564772	8.018234	0.3888889
7.621904	9.100506	0.44
12.743188	15.399233	0.5555556
3.1538277	3.1538277	1.0
5.994816	5.994816	1.0
4.4843597	4.4843597	1.0
2.8652089	3.607217	0.52
10.430567	10.430567	1.0
4.0900054	4.276069	0.5555556
NaN	0.0	NaN
14.007974	14.007974	1.0
NaN	0.0	NaN
NaN	0.0	NaN
5.218326	5.218326	1.0
NaN	0.0	NaN
11.425303	11.927864	0.625
NaN	0.0	NaN
2.484249	2.484249	1.0
0.5120981	0.5120981	1.0
11.826203	11.826203	1.0
9.754782	9.754782	1.0
6.658427	10.722794	0.8472222
NaN	0.0	NaN
4.4181294	9.764811	0.7222222
NaN	0.0	NaN
NaN	0.0	NaN
4.9543715	5.9647365	0.5102041
8.457722	9.764811	0.625
9.303706	11.229023	0.5
5.424358	5.424358	1.0
NaN	0.0	NaN
1.8883101	1.9310973	0.5555556
1.4598092	1.4598091	1.0
4.789367	4.7893667	1.0
2.338651	2.338651	1.0
7.8610473	7.8610473	1.0
1.4598092	1.4598091	1.0
3.0918531	7.6605835	0.69550174
19.344501	19.344501	1.0
0.5120981	0.5120981	1.0
6.86429	6.86429	1.0
5.218326	5.218326	1.0
2.2429202	4.4639473	0.8347107
NaN	0.0	NaN
5.0287995	5.028799	1.0
NaN	0.0	NaN
NaN	0.0	NaN
5.6542344	7.4055796	0.2777778
8.073538	8.073538	1.0
NaN	0.0	NaN
4.937823	5.9647365	0.59183675
5.722315	5.722315	1.0
9.664316	12.048909	0.42533082
3.3653615	6.269455	0.42857143
6.0251546	15.219447	0.4876033
5.4681573	5.4681573	1.0
NaN	0.0	NaN

NaN	0.0	NaN
13.477724	13.477724	1.0
3.3689475	5.5051093	0.78125
NaN	0.0	NaN
2.724676	2.724676	1.0
2.3181937	2.3181937	1.0
7.518696	23.467428	0.625
9.056635	10.5121975	0.33673468
NaN	0.0	NaN
15.319248	16.0	0.5555556
17.083567	19.118322	0.33333334
5.665717	5.701913	0.625
4.560491	4.560491	1.0
NaN	0.0	NaN
14.142371	14.397945	0.86734694
6.0843344	6.100429	0.654321
9.222402	9.222402	1.0
NaN	0.0	NaN
NaN	0.0	NaN
7.9659853	11.050135	0.5
NaN	0.0	NaN
6.0523615	6.0658555	0.52
NaN	0.0	NaN
2.5925467	16.0	0.90929705
6.6345024	11.257099	0.5
14.496639	14.496639	1.0
2.724676	2.724676	1.0
NaN	0.0	NaN
NaN	0.0	NaN
13.017048	13.017048	1.0
5.1387787	5.1387787	1.0
2.295696	3.8805666	0.48788926
NaN	0.0	NaN
9.4416685	9.771436	0.5555556
14.250026	14.250026	1.0
11.322702	21.054262	0.625
12.436848	13.508493	0.5555556
5.1879945	5.1879945	1.0
3.7755723	3.7755723	1.0
NaN	0.0	NaN
NaN	0.0	NaN
4.1693454	4.1693454	1.0
10.604657	10.604656	1.0
5.0364294	5.0364294	1.0
5.9680767	5.999318	0.5
3.3556097	3.4139752	0.7222222
NaN	0.0	NaN
5.143302	8.563086	0.43209878
9.15347	14.914084	0.3469388
3.218276	4.6262155	0.3888889
8.972002	13.3991785	0.68
4.501374	4.501374	1.0
NaN	0.0	NaN
3.5218265	5.3344383	0.7222222
NaN	0.0	NaN
9.375126	10.667713	0.68
18.846596	18.846596	1.0
2.339512	2.3395123	1.0
NaN	0.0	NaN
4.3626504	10.568846	0.35734072
5.876984	16.395533	0.5555556
4.3178325	19.118322	0.68
9.222402	9.222402	1.0
NaN	0.0	NaN
2.1915052	2.191505	1.0
6.505483	6.5054827	1.0
6.785091	6.785091	1.0
2.0292687	2.1421285	0.7688889
NaN	0.0	NaN
NaN	0.0	NaN
NaN	0.0	NaN
1.0155128	1.7325287	0.5555556
3.8007946	8.270111	0.5408163
NaN	0.0	NaN
2.798474	2.7984743	1.0
15.78394	25.640139	0.44
NaN	0.0	NaN
1.9221745	1.9221745	1.0
7.67657	7.8980746	0.53125
5.955389	5.955389	1.0
6.2639813	6.2639813	1.0
0.98877466	2.8099346	0.66
NaN	0.0	NaN
5.159339	5.159339	1.0
8.445054	8.445054	1.0
NaN	0.0	NaN
8.823535	13.477724	0.5
3.9048786	26.820635	0.86734694
10.386198	10.386198	1.0
5.1387787	5.1387787	1.0
NaN	0.0	NaN
3.8525653	3.9295585	0.5
3.333572	3.3335721	1.0
5.0364294	5.0364294	1.0
NaN	0.0	NaN
5.701913	5.701913	1.0
NaN	0.0	NaN
7.448115	9.679895	0.37755102
2.705982	5.637741	0.80246913
5.955389	5.955389	1.0
9.178014	16.526484	0.33333334
13.108431	13.108431	1.0

NaN	0.0	NaN
3.3887448	3.3887448	1.0
2.8841305	2.8841305	1.0
NaN	0.0	NaN
4.858959	4.858959	1.0
5.6187096	5.721983	0.70247936
5.417314	5.417314	1.0
NaN	0.0	NaN
4.5093684	4.5093684	1.0
5.93212	11.0875225	0.52
3.3242326	3.3242326	1.0
8.887141	8.887141	1.0
4.248025	11.079941	0.78125
5.661603	16.0	0.68
1.0901308	1.0901308	1.0
16.0	16.0	1.0
3.6943738	3.6943734	1.0
10.230281	10.230281	1.0
9.370995	9.370995	1.0
NaN	0.0	NaN
10.246368	17.99839	0.5555556
2.9321895	2.9321892	1.0
3.2928402	3.2928402	1.0
5.969762	6.462287	0.625
NaN	0.0	NaN
4.1756086	7.296258	0.45061728
9.55639	9.918359	0.78125
5.0476284	6.0717015	0.60330576
5.676249	11.713241	0.6296296
4.5093684	4.5093684	1.0
NaN	0.0	NaN
3.3242326	3.3242326	1.0
2.7785888	2.7785888	1.0
3.6878154	4.869294	0.86734694
NaN	0.0	NaN
NaN	0.0	NaN
NaN	0.0	NaN
4.3202004	12.237575	0.81163436
3.2720373	3.272037	1.0
7.7831817	10.282362	0.5555556
4.4496417	4.4496417	1.0
2.6588206	10.708602	0.6213018
1.822932	1.822932	1.0
2.9321892	2.9321892	1.0
7.805321	7.8053226	1.0
6.331094	17.838827	0.625
9.587115	10.471854	0.50617284
4.3490047	4.3490047	1.0
5.5948057	5.5948057	1.0
5.005416	5.071782	0.5
NaN	0.0	NaN
4.1892447	4.1892447	1.0
2.107752	7.8053226	0.78125
5.1583385	5.1583385	1.0
16.7358	16.7358	1.0
2.6194751	2.6194751	1.0
NaN	0.0	NaN
15.695469	15.695469	1.0
6.371639	6.371639	1.0
NaN	0.0	NaN
NaN	0.0	NaN
3.0770032	3.0770032	1.0
7.2572827	7.2572827	1.0
1.7962643	1.7962643	1.0
2.8841305	2.8841305	1.0
NaN	0.0	NaN
12.056367	16.339283	0.625
4.1892447	4.1892447	1.0
5.8055873	5.8055873	1.0
9.649124	10.591779	0.42857143
NaN	0.0	NaN
5.75094	7.54946	0.5408163
9.153365	9.153365	1.0
10.000884	15.535846	0.33333334
NaN	0.0	NaN
2.830368	5.414726	0.5
3.1678913	3.1678913	1.0
7.742051	7.742051	1.0
5.55143	7.6006436	0.45833334
7.706069	8.49448	0.40625
5.1583385	5.1583385	1.0
3.1415882	9.402556	0.68
9.172605	20.856133	0.2888889
14.431226	16.446444	0.68
NaN	0.0	NaN
