AMT, Density, Average Path Distance, SD for Path Distance, SE for Path Distance, Average Max Distance, SD for Max Distance, SE for Max Distance
0, 0.01, 422.550251803499, 99.738159778377, 0.99738159778377, 85.1342481360002, 18.4696769852772, 0.184696769852772,
0, 0.03, 191.649874416701, 51.7022553961479, 0.517022553961479, 57.1710056866799, 20.8905205009897, 0.208905205009897,
0, 0.05, 127.9227171944, 35.4497624242692, 0.354497624242692, 40.60616163277, 16.738504801368, 0.16738504801368,
0, 0.07, 98.2778421104006, 25.5662485514602, 0.255662485514602, 31.7779339826601, 13.3779265019599, 0.133779265019599,
0, 0.15, 55.9524040495999, 14.1940319776786, 0.141940319776786, 17.56832309955, 7.51610855730099, 0.0751610855730099,
0, 0.1, 75.4207113107999, 19.3702490597887, 0.193702490597887, 24.1517549720299, 10.3255777465225, 0.103255777465225,
135, 0.01, 463.602887508299, 162.575117684992, 1.62575117684992, 34.8846465694401, 12.959043905854, 0.12959043905854,
135, 0.03, 209.0204963411, 77.3077083759628, 0.773077083759628, 23.87361804217, 9.17412328631506, 0.0917412328631506,
135, 0.05, 139.495215331, 51.8967415775548, 0.518967415775548, 19.38109417614, 7.58077447073916, 0.0758077447073916,
135, 0.07, 105.059611186, 35.5886170493684, 0.355886170493684, 16.6829628828101, 6.48517192909352, 0.0648517192909352,
135, 0.15, 58.4756995279499, 17.7399250479439, 0.177399250479439, 11.9352425179601, 4.64754856705252, 0.0464754856705252,
135, 0.1, 79.8967225231997, 26.3744840295239, 0.263744840295239, 14.20314577052, 5.54265377859271, 0.0554265377859271,
15, 0.01, 427.7229766481, 107.121385092557, 1.07121385092557, 67.2159467036499, 20.4087189375028, 0.204087189375028,
15, 0.03, 194.9446979311, 54.6574107718757, 0.546574107718757, 44.6558148122501, 16.9402244901566, 0.169402244901566,
15, 0.05, 128.314010400599, 36.6130782111732, 0.366130782111732, 33.3652081279, 13.4118972067492, 0.134118972067492,
15, 0.07, 98.8896384930004, 26.5733840506661, 0.265733840506661, 27.25242287101, 11.0817900745404, 0.110817900745404,
15, 0.15, 56.1454379391501, 14.4917348918578, 0.144917348918578, 16.13193401443, 6.68815961047654, 0.0668815961047654,
15, 0.1, 76.0764381187999, 20.1942152803013, 0.201942152803013, 21.5712101982701, 8.87599065598834, 0.0887599065598834,
180, 0.01, 475.5479529557, 174.410124309397, 1.74410124309397, 31.84556634348, 11.8805394458014, 0.118805394458014,
180, 0.03, 216.7147541717, 87.1436130681532, 0.871436130681532, 21.96914945429, 8.76910240129699, 0.0876910240129699,
180, 0.05, 143.0535017514, 56.3690032756198, 0.563690032756198, 17.87601310191, 7.113766949223, 0.07113766949223,
180, 0.07, 107.9567880547, 40.089392192972, 0.40089392192972, 15.46162565927, 5.96355233758416, 0.0596355233758416,
180, 0.15, 59.2610543521, 18.7646637190167, 0.187646637190167, 11.2458890935299, 4.33069159908315, 0.0433069159908315,
180, 0.1, 81.5327111890998, 27.3865304614204, 0.273865304614204, 13.46084989117, 5.1709616715386, 0.051709616715386,
30, 0.01, 428.099008839999, 112.443224855228, 1.12443224855228, 56.7170531854999, 19.0235842465147, 0.190235842465147,
30, 0.03, 193.1114717696, 54.3062747927042, 0.543062747927042, 37.5972609236701, 14.4581563725435, 0.144581563725435,
30, 0.05, 129.6035807683, 37.7904948035473, 0.377904948035473, 29.0874315193599, 11.3351340960158, 0.113351340960158,
30, 0.07, 99.7212207951998, 27.4248736296326, 0.274248736296326, 24.2707007730401, 9.70193782969393, 0.0970193782969393,
30, 0.15, 56.3693377782998, 14.6893104569872, 0.146893104569872, 15.26330302881, 6.25791673000492, 0.0625791673000492,
30, 0.1, 76.6205189037999, 20.5584778160576, 0.205584778160576, 19.7668117936, 8.08465353445794, 0.0808465353445793,
45, 0.01, 432.300406426001, 118.261144223388, 1.18261144223388, 49.83801412772, 17.5263692682816, 0.175263692682816,
45, 0.03, 196.7323458439, 59.3335147694921, 0.593335147694921, 33.9588487674998, 13.0310132049511, 0.130310132049511,
45, 0.05, 130.9388476415, 40.2143042630298, 0.402143042630298, 26.41314696918, 10.2878413720213, 0.102878413720213,
45, 0.07, 100.157091623, 28.6170714211151, 0.286170714211151, 22.1933479791801, 8.84564709173215, 0.0884564709173215,
45, 0.15, 56.4453967225998, 14.9130919058852, 0.149130919058852, 14.3058155134001, 5.76948701951893, 0.0576948701951893,
45, 0.1, 76.2789326145, 20.7901311983815, 0.207901311983815, 18.0858938202801, 7.20600282093545, 0.0720600282093545,
60, 0.01, 437.6266603192, 129.07297011646, 1.2907297011646, 45.8653728822503, 16.4696375988471, 0.164696375988471,
60, 0.03, 199.782947234, 63.2411004136518, 0.632411004136518, 31.14056449736, 12.0988992644931, 0.120988992644931,
60, 0.05, 131.689458263051, 41.420479711126, 0.41420479711126, 24.45295915654, 9.4478881073647, 0.094478881073647,
60, 0.07, 101.7676326024, 30.3834700835018, 0.303834700835018, 20.72796723691, 8.03343540514323, 0.0803343540514323,
60, 0.15, 57.1888365041001, 15.7855006630097, 0.157855006630097, 13.7605730588101, 5.5159131375657, 0.055159131375657,
60, 0.1, 77.1430914616999, 22.2843034922619, 0.222843034922619, 17.23481064057, 6.77705995337031, 0.0677705995337031,
90, 0.01, 450.644881063099, 146.828211579558, 1.46828211579558, 39.7905110248699, 14.2524923077153, 0.142524923077153,
90, 0.03, 205.229124678101, 71.3238696629357, 0.713238696629357, 27.20631691717, 10.5122346009117, 0.105122346009117,
90, 0.05, 135.1446863171, 44.8184516972513, 0.448184516972513, 21.83392196136, 8.5904788278892, 0.085904788278892,
