PollenDist	MaxPollenDist	WDivFathers
4.2839947	13.896667	0.32
7.217834	12.268349	0.28
7.186503	11.113718	0.2638889
12.0781975	16.435684	0.33333334
7.0712886	18.451607	0.234375
1.7671912	8.9911	0.54
2.1012385	2.1012385	1.0
NaN	0.0	NaN
NaN	0.0	NaN
8.636825	8.636824	1.0
5.2092137	5.2092137	1.0
3.889189	3.889189	1.0
8.005856	16.817793	0.21777777
9.948185	11.740728	0.33333334
2.5836046	2.5836043	1.0
5.9961853	9.606909	0.2892562
12.789309	14.733138	0.68
3.548859	3.548859	1.0
17.08951	17.08951	1.0
3.0930197	4.670664	0.625
4.152247	8.453489	0.25141776
8.151892	20.562286	0.2
6.368305	9.112328	0.25
6.2564516	6.2564516	1.0
5.550132	7.4277897	0.3828125
1.3681287	1.3681285	1.0
14.051223	19.257	0.5138889
9.958018	9.958018	1.0
5.488661	9.742886	0.18343195
3.8931794	11.99732	0.70247936
4.230154	7.1776047	0.75510204
6.829295	30.571472	0.25
3.9540231	6.40364	0.43209878
2.6627967	3.446236	0.5972222
9.946262	10.368652	0.5
9.831706	12.122702	0.20661157
7.928645	9.924255	0.21777777
NaN	0.0	NaN
2.6591618	5.2583265	0.80246913
6.780609	12.989296	0.28
4.4566965	6.187391	0.32963988
NaN	0.0	NaN
6.786655	21.625275	0.4027778
11.302138	12.975238	0.40625
4.43959	6.1592255	0.5555556
6.6808395	9.937249	0.2755102
5.221402	5.962952	0.29591838
2.8723927	2.8723927	1.0
2.878733	3.0882132	0.52
5.136676	7.440397	0.50094515
3.3594213	5.2295265	0.5102041
3.7026443	7.1108694	0.2857143
3.3920877	11.65933	0.5147929
4.792357	11.489418	0.40625
5.1020675	15.023433	0.5
7.965941	12.075734	0.33333334
3.0147438	3.7498825	0.7222222
9.421764	9.421764	1.0
8.278799	11.103034	0.3553719
4.5830717	11.229239	0.51
7.9209213	12.386286	0.34
3.3844235	16.140501	0.32544377
9.262297	9.262297	1.0
5.24813	18.450907	0.25
2.0280607	2.0280607	1.0
3.1494918	3.1494918	1.0
4.222838	9.954287	0.15277778
5.394012	7.616502	0.27272728
3.7420695	10.044285	0.24489796
5.472163	11.311073	0.14878893
7.8365192	12.21803	0.25619835
1.8343868	3.7498825	0.33333334
10.341882	17.557198	0.3877551
7.411313	9.990303	0.375
9.204837	13.321091	0.22222222
9.146891	21.116903	0.25
5.6272373	9.891373	0.375
6.2059484	16.604437	0.16343491
5.0608177	6.561627	0.31487888
5.1847324	14.951392	0.23204994
5.2335	11.514154	0.4453125
2.935192	5.1025047	0.37654322
6.43348	11.946151	0.40625
2.8199255	3.7127469	0.53125
9.385636	9.385636	1.0
NaN	0.0	NaN
10.919908	10.919908	1.0
NaN	0.0	NaN
3.929829	5.3676934	0.5972222
3.6335692	10.989345	0.33081284
4.1613226	8.986202	0.21088435
2.8900595	2.8900595	1.0
5.1123934	9.701391	0.625
5.5378203	11.06255	0.4876033
NaN	0.0	NaN
6.739984	8.755006	0.38271606
4.0729284	7.6886697	0.46694216
2.5050867	3.3274915	0.3515625
2.2764933	8.432951	0.900277
6.333317	12.454004	0.15625
3.356563	11.764495	0.43310657
4.4518385	12.837589	0.23076923
6.57874	15.556821	0.45918366
2.0922592	2.0922592	1.0
7.1416163	7.1416163	1.0
3.6040099	6.801313	0.6859504
7.987523	23.173754	0.24
NaN	0.0	NaN
8.999738	8.999738	1.0
5.03158	8.996828	0.2777778
5.939382	15.54745	0.2631579
3.9447005	18.297264	0.21883656
6.3446317	13.69638	0.38271606
2.9977956	3.1440015	0.58
4.436822	15.281947	0.21995465
8.434386	17.471903	0.31555554
2.9740424	6.0676904	0.41
11.607964	30.00693	0.7083333
12.552906	12.552906	1.0
8.396678	22.952438	0.26530612
5.8654437	11.394464	0.2244898
5.3180523	5.3180523	1.0
2.713874	11.295411	0.61937714
NaN	0.0	NaN
4.8963075	16.120157	0.2755102
5.6303334	12.565253	0.1875
1.5920765	4.5921755	0.78546715
4.216181	13.17848	0.43801653
8.24833	16.160337	0.14666666
4.4993496	10.465679	0.31360948
3.3980618	7.927892	0.48788926
4.868915	11.236499	0.23958333
5.1135397	6.9003215	0.75510204
4.081916	4.0819154	1.0
9.221585	13.005999	0.33333334
10.223949	11.731149	0.5555556
5.0259633	15.047854	0.78125
6.9119806	13.850103	0.30612245
7.6828995	11.5443	0.20661157
5.363098	12.31478	0.5069252
5.768858	8.964636	0.4304
3.6558022	3.7127469	0.52
4.5498757	6.4934573	0.33333334
10.253318	14.387113	0.28125
5.191856	10.290977	0.46875
11.749387	13.091886	0.5555556
7.8153434	7.8153434	1.0
6.3358107	17.024975	0.2
4.529136	10.2928295	0.68
7.026168	16.884317	0.225
2.5836043	2.5836043	1.0
5.5406275	15.908915	0.2711111
4.701415	7.571064	0.3671875
5.297112	7.012168	0.5555556
10.256836	10.256836	1.0
6.973069	6.973069	1.0
3.8708944	8.985246	0.3159722
13.4271965	27.896772	0.21875
NaN	0.0	NaN
6.6704245	9.98702	0.2345679
NaN	0.0	NaN
7.8153434	7.8153434	1.0
5.554947	11.228701	0.42
3.0816653	3.566139	0.53846157
2.2859144	5.5390196	0.58264464
14.559636	16.355913	0.26
7.1299763	16.065556	0.40625
4.109266	9.2127695	0.25333333
2.4045298	4.0149817	0.7222222
5.5111804	7.2670183	0.36
6.6344533	11.323964	0.1694215
8.597706	10.462819	0.53125
4.157562	7.8953633	0.5
9.303451	12.008282	0.3
3.3576767	7.136676	0.42911154
11.3314905	17.388596	0.21875
8.304347	8.400012	0.5555556
5.9656887	13.638109	0.654321
NaN	0.0	NaN
2.0401804	3.3766735	0.36842105
11.265871	24.910221	0.25
5.201613	5.201613	1.0
10.123659	12.376089	0.4074074
3.9150655	3.9150653	1.0
4.763355	18.949629	0.44044322
3.6361783	4.1180677	0.42857143
4.0985703	11.314245	0.5510204
7.2010617	9.173364	0.21875
8.465791	14.216566	0.26530612
4.917259	5.602639	0.52
4.3166723	16.548986	0.3106576
9.041914	21.625275	0.4814815
10.4504175	10.4504175	1.0
9.851444	19.888292	0.2890625
7.2299137	7.241253	0.654321
4.884129	10.992596	0.5972222
6.620982	12.408602	0.42857143
NaN	0.0	NaN
4.5272393	8.756121	0.30193907
7.5021505	13.367593	0.42
7.0768948	13.17633	0.3046875
2.9081323	5.8012424	0.76
7.966675	18.48036	0.2244898
4.18067	4.1865897	0.80246913
7.1771765	9.189174	0.46
4.0617523	6.236455	0.28125
3.903249	4.74994	0.7962963
3.5365217	3.5365214	1.0
8.718955	18.193048	0.4876033
NaN	0.0	NaN
3.5365214	3.5365214	1.0
5.743721	11.779109	0.73964494
NaN	0.0	NaN
2.0951846	2.101136	0.5371901
3.8914824	4.670664	0.5371901
5.1091676	6.7493825	0.5
9.03291	9.03291	1.0
2.513951	7.393535	0.46875
5.4927444	10.996847	0.24099723
4.4395843	4.4395843	1.0
5.880242	6.532989	0.32098764
3.1174839	8.512932	0.5555556
NaN	0.0	NaN
6.4578786	11.409743	0.34375
8.359016	8.359016	1.0
5.453489	10.1166	0.3979239
NaN	0.0	NaN
11.836581	20.564503	0.38842976
7.52206	11.810782	0.40625
3.318606	7.0100904	0.5510204
7.7534866	13.082676	0.22222222
3.8815145	5.622042	0.80246913
NaN	0.0	NaN
5.787376	11.848651	0.24691358
5.7102184	6.6038523	0.53125
3.305012	8.06254	0.2892562
10.599055	11.36811	0.80246913
7.566532	14.720572	0.31519273
5.3324976	5.3324976	1.0
4.5914807	7.9525576	0.6859504
3.143777	12.875466	0.7083333
6.3143816	7.329953	0.5371901
4.2429695	4.2429695	1.0
12.252458	12.252458	1.0
NaN	0.0	NaN
8.350391	14.612308	0.28
NaN	0.0	NaN
5.9914494	5.9914494	1.0
5.1792293	7.5708723	0.29591838
4.345344	4.345344	1.0
5.9025326	17.254585	0.15277778
5.448471	9.750977	0.2244898
3.5417085	14.352436	0.2734375
6.159556	18.404314	0.33333334
6.0983763	13.78265	0.18595041
NaN	0.0	NaN
5.119285	7.7621946	0.37278107
4.9397535	12.32653	0.37654322
6.99515	17.653812	0.52
4.211911	19.850574	0.33333334
NaN	0.0	NaN
4.354692	7.0531955	0.2244898
2.6220348	4.1180677	0.515625
2.7610075	4.2972264	0.32231405
2.6220534	3.8578405	0.36
8.97961	14.547561	0.22222222
4.8560796	6.101332	0.33333334
