AMT, Density, Average Pollen Distance, SD for Pollen Distance, SE for Pollen Distance, Average Max Pollen Distance, SD for Max Pollen Distance, SE for Max Pollen Distance, Average Weighted Diversity of Fathers, SD for Weighted Diversity of Fathers, SE for Weighted Diversity of Fathers
0, 0.01, 14.572236575423, 2.94869777275812, 0.286348599242311, 23.673526262039, 3.80473329055143, 0.476741519409143, 2.12656542131238, 1.01311591473715, 0.0338028108073411
0, 0.03, 11.7714733306398, 2.40686670684449, 0.105205750940136, 24.9416130450198, 3.50821227510456, 0.223515234355283, 3.57719126520133, 1.26160469297931, 0.0289056003085211
0, 0.05, 10.1441781590784, 2.1367117373006, 0.0639993621928045, 23.8528732075162, 3.39829578806454, 0.161884820856704, 4.47897260875615, 1.367332154731, 0.0262078761946837
0, 0.07, 9.23394773856461, 1.9974884206572, 0.0472623336108675, 22.3860043912656, 3.19770367370247, 0.121122005281548, 5.10395597976607, 1.45181404143145, 0.024967129016136
0, 0.15, 6.59821952638798, 1.65621189760258, 0.0223084947076509, 15.5264348266063, 2.58744698220594, 0.0544479315621294, 5.57447198024372, 1.51874744993999, 0.0187589959639204
0, 0.1, 8.0574934345568, 1.83459640493711, 0.0333831554510894, 19.86773036649, 2.96626962356512, 0.0872705186904078, 5.55863921744993, 1.49326379179148, 0.0221166516537938
135, 0.01, 6.84571292348158, 1.96623761206881, 0.137811237547853, 9.40543742928843, 2.35336832465401, 0.197420588095905, 1.58099808036889, 0.841532859168273, 0.0252438034883616
135, 0.03, 5.93507516252643, 1.66322645128678, 0.0510795114682939, 10.6513458665224, 2.35222747035753, 0.102165109217165, 2.6191720690928, 1.12911799047874, 0.0235408761692702
135, 0.05, 5.56064610081697, 1.53117021852681, 0.0330143280799835, 11.3709699094765, 2.32775857393557, 0.0763012031023859, 3.42241312331774, 1.26445267501016, 0.0225144154132985
135, 0.07, 5.29795691616206, 1.47693037341604, 0.0258966653117113, 11.4198008420296, 2.28962041248205, 0.0622373047231259, 3.93756759595838, 1.33711978085194, 0.0212258175759694
135, 0.15, 4.60228692542592, 1.34425091473001, 0.014729650134045, 9.87266067901662, 2.02986386028928, 0.0335865637201021, 4.74653636225645, 1.4340589091718, 0.0167635399540103
135, 0.1, 5.03314459307714, 1.40442864537958, 0.0195914263997356, 11.0702833050119, 2.18774392163388, 0.0475400540140866, 4.474281598612, 1.41040518390386, 0.0197585236041852
15, 0.01, 11.7073501734525, 2.43883236552212, 0.198816480749673, 18.0902425480894, 3.14567298312925, 0.330762013575747, 2.06779066094724, 0.997797055329265, 0.0332792031015041
15, 0.03, 9.88298421039949, 2.12837595849518, 0.0823089483058157, 19.99310592311, 3.10378721367029, 0.175038765899416, 3.57225871156436, 1.25124307324528, 0.0284468207315253
15, 0.05, 8.82594086981714, 1.97711433017247, 0.0548119672885063, 19.5870746829533, 2.98645770339354, 0.125061766463812, 4.38152297221899, 1.36099804407262, 0.0259732816051837
15, 0.07, 8.08754423596798, 1.80454563138552, 0.0385837348860011, 18.9874608517549, 2.8584396258771, 0.0968114166734489, 4.97912092725263, 1.42372643296444, 0.0240171585070724
15, 0.15, 6.08342751443115, 1.56183760846598, 0.0198510406590175, 13.9939847980364, 2.42156183520794, 0.0477202437182433, 5.52481780131646, 1.50973780195873, 0.018548747320958
15, 0.1, 7.2213880419988, 1.6935484415196, 0.0284459337586253, 17.3938069018887, 2.71778591315865, 0.0732580634160728, 5.4521085117587, 1.48736093348689, 0.0219410641833894
180, 0.01, 6.5091071007619, 1.9747019570321, 0.143833299645752, 8.47246900136055, 2.30517030751362, 0.196002840027182, 1.48908859653365, 0.814508052874235, 0.024470739585826
180, 0.03, 5.64388231893227, 1.64533599262498, 0.0503222363403316, 9.7234295758224, 2.23155660314272, 0.0925692086099271, 2.48827572546026, 1.09739185539057, 0.0223858815713083
180, 0.05, 5.18530213416584, 1.50048581390144, 0.0317484823472014, 10.3081133544383, 2.25763156935864, 0.0718729252144018, 3.19198171711513, 1.24213167411246, 0.02175677171482
180, 0.07, 5.04258143646205, 1.45914615344585, 0.0252928061332376, 10.5909800788075, 2.22401661964855, 0.0587591470114624, 3.70968817795159, 1.30538154691169, 0.0202429761901717
180, 0.15, 4.36812954599611, 1.31666898444524, 0.0141605906531458, 9.16900754898986, 1.96218084392974, 0.0314489551283239, 4.54519089324922, 1.41951749794293, 0.0164592354698027
180, 0.1, 4.79689279456064, 1.38038905424091, 0.0189442378960011, 10.3837572293664, 2.11612248644624, 0.0445200588021275, 4.22870817144555, 1.37322468480998, 0.0187481028882058
30, 0.01, 10.1698698621525, 2.26709373101491, 0.172090352773299, 14.8636967718386, 2.8417317267127, 0.270385703536008, 1.91591381306886, 0.957129265412755, 0.0306731772213226
30, 0.03, 8.3829769616628, 1.89437763278376, 0.0651838707824375, 16.7864881297262, 2.85022854242723, 0.147559237191499, 3.33497366510586, 1.21587234604438, 0.0268523929356976
