PollenDist	MaxPollenDist	WDivFathers
4.9248614	4.9248614	1.0
14.263179	14.263179	1.0
NaN	0.0	NaN
22.627417	22.627417	1.0
25.25595	25.25595	1.0
NaN	0.0	NaN
15.980962	20.875992	0.33333334
21.536217	35.77709	0.3888889
NaN	0.0	NaN
9.257509	9.257509	1.0
6.3974447	9.582354	0.375
8.597181	22.627417	0.375
10.350342	16.6988	0.20408164
12.649788	16.0	0.5555556
13.615479	13.615479	1.0
6.8135805	6.8135805	1.0
13.062805	16.0	0.5555556
4.49949	8.888044	0.42857143
2.5820668	10.109124	0.8276644
5.843198	5.843198	1.0
6.7462006	13.527601	0.36
4.723501	4.911069	0.625
NaN	0.0	NaN
15.731	15.731	1.0
6.2223744	11.345843	0.82
NaN	0.0	NaN
2.3024678	2.3024683	1.0
7.476523	10.691469	0.42
6.4031825	8.698512	0.5972222
21.060106	37.792046	0.42857143
3.6954088	5.25367	0.5
4.107705	8.698512	0.3
7.2891006	7.2891006	1.0
3.7305565	4.268733	0.30864197
10.071989	10.96027	0.52
4.9664283	5.7398863	0.43209878
3.4167728	3.4167728	1.0
10.529337	10.529337	1.0
16.565441	37.46836	0.44
6.284006	6.338851	0.7222222
NaN	0.0	NaN
2.3024683	2.3024683	1.0
5.3286295	6.336834	0.52
6.226881	6.226881	1.0
NaN	0.0	NaN
4.1607985	4.1607985	1.0
11.5245	20.420088	0.375
5.9239388	13.869675	0.30612245
8.834088	22.764019	0.41836736
8.501728	8.501728	1.0
NaN	0.0	NaN
7.8047433	7.8047433	1.0
NaN	0.0	NaN
6.3388505	6.338851	1.0
9.867171	9.867171	1.0
4.452633	7.4706693	0.43801653
0.29142734	0.29142734	1.0
6.64779	11.536758	0.78125
7.7099614	10.330486	0.3888889
7.2183075	9.511753	0.5
14.701764	18.514257	0.52
25.181871	25.181871	1.0
7.5093765	7.5093765	1.0
10.605786	15.312814	0.36
8.000615	14.794582	0.3472222
7.7604756	8.563778	0.78125
7.473441	7.473441	1.0
8.1217165	9.896456	0.5555556
6.1630735	8.906458	0.5
NaN	0.0	NaN
8.321552	11.289308	0.5
11.397263	23.618702	0.75510204
NaN	0.0	NaN
13.9321785	13.9321785	1.0
8.174788	8.174788	1.0
5.029271	9.810274	0.7222222
6.8924212	10.102593	0.50617284
12.283796	16.906097	0.36
5.828779	5.828779	1.0
17.514791	17.514791	1.0
12.340536	17.579565	0.28
8.844377	25.666094	0.375
4.712881	15.360084	0.2962963
NaN	0.0	NaN
NaN	0.0	NaN
6.5505652	7.473441	0.59375
8.437426	13.866301	0.66
5.867155	20.219835	0.80246913
10.241575	19.468512	0.5555556
6.8932085	10.787011	0.3580247
6.1443896	6.1443896	1.0
11.67594	15.90793	0.5
12.366822	12.366822	1.0
10.771071	18.940123	0.30612245
