SDA, Density, Average Path Distance, SD for Path Distance, SE for Path Distance, Average Max Distance, SD for Max Distance, SE for Max Distance
0, 0.01, 422.428653267501, 99.257199704933, 0.99257199704933, 85.5767244837999, 18.3434820055646, 0.183434820055646,
0, 0.03, 192.805918490999, 51.3541563548209, 0.513541563548209, 56.9146136715503, 20.7498030061413, 0.207498030061413,
0, 0.05, 127.8600124383, 36.6276771763482, 0.366276771763482, 40.7727049399399, 16.8907377745898, 0.168907377745898,
0, 0.07, 95.9039084372498, 27.9241479635969, 0.279241479635969, 31.1011062140999, 13.6247215125328, 0.136247215125328,
0, 0.15, 48.019172837, 19.5361765421548, 0.195361765421548, 15.9700792431201, 7.86180603967956, 0.0786180603967956,
0, 0.1, 71.4217029675503, 24.0752812668122, 0.240752812668122, 23.33070386717, 10.7929752265625, 0.107929752265625,
45, 0.01, 466.4575250317, 169.416244830378, 1.69416244830378, 34.7861869918502, 12.6888172444369, 0.126888172444369,
45, 0.03, 210.1273062612, 78.702878969026, 0.78702878969026, 23.9896559495101, 9.44940371742149, 0.0944940371742149,
45, 0.05, 138.3975228963, 53.8479131465858, 0.538479131465858, 19.28750353864, 7.84254195138664, 0.0784254195138664,
45, 0.07, 103.35750647875, 39.0715047326454, 0.390715047326454, 16.42141159944, 6.56941377545652, 0.0656941377545652,
45, 0.15, 50.3119200388002, 22.9655593452109, 0.229655593452109, 10.80949731317, 4.73346781779148, 0.0473346781779148,
45, 0.1, 74.92545410484, 30.2729911567934, 0.302729911567934, 13.65854794962, 5.80740636153638, 0.0580740636153638,
5, 0.01, 422.535528273001, 101.499638709362, 1.01499638709362, 67.0548051646997, 20.4578934019215, 0.204578934019215,
5, 0.03, 193.3556226036, 55.3973219005033, 0.553973219005033, 44.25794589616, 17.0296445656473, 0.170296445656473,
5, 0.05, 127.48241411225, 36.8563808616662, 0.368563808616662, 33.1420629055901, 13.3080335634019, 0.133080335634019,
5, 0.07, 96.9153657523, 28.4493809783282, 0.284493809783282, 26.7917280321499, 11.3737561933414, 0.113737561933414,
5, 0.15, 47.8168528760999, 19.9011073679854, 0.199011073679854, 14.60653356641, 6.90851562593236, 0.0690851562593236,
5, 0.1, 71.1437444092897, 24.2598987212164, 0.242598987212164, 20.6105274227399, 9.22180790558618, 0.0922180790558618,
60, 0.01, 477.563113623299, 179.01740541954, 1.7901740541954, 31.88584565766, 11.8151747028883, 0.118151747028883,
60, 0.03, 218.07686662544, 88.7410759326496, 0.887410759326496, 22.0478257101401, 8.82522201978277, 0.0882522201978277,
60, 0.05, 140.802265141929, 56.242989986513, 0.56242989986513, 17.6175654660299, 7.09687882561499, 0.0709687882561499,
60, 0.07, 105.03052514805, 41.9018313651425, 0.419018313651425, 15.31940412168, 6.33100455625019, 0.0633100455625019,
60, 0.15, 50.8503423297099, 23.3503908596609, 0.233503908596609, 10.23187613968, 4.34873293812572, 0.0434873293812572,
60, 0.1, 76.4999010368497, 32.3550719912158, 0.323550719912158, 12.8897073244201, 5.41694923905414, 0.0541694923905414,
10, 0.01, 428.118628670799, 113.595705067456, 1.13595705067456, 56.6108281904, 18.7847143700519, 0.187847143700519,
10, 0.03, 194.705106145549, 57.1965519961344, 0.571965519961344, 37.85282914616, 14.5451516901793, 0.145451516901793,
10, 0.05, 129.5624651432, 39.0944633696818, 0.390944633696818, 29.2629888883099, 11.7994746810027, 0.117994746810027,
10, 0.07, 97.1248024127503, 29.5843654634414, 0.295843654634414, 23.71818927103, 9.81635274240107, 0.0981635274240107,
10, 0.15, 48.0823498027202, 20.2597171446519, 0.202597171446519, 13.6930272208, 6.41069293179415, 0.0641069293179415,
10, 0.1, 71.6190334713498, 24.6286174381695, 0.246286174381695, 18.7711955050801, 8.16609704670578, 0.0816609704670578,
