AMT, Density, Average Pollen Distance, SD for Pollen Distance, SE for Pollen Distance, Average Max Pollen Distance, SD for Max Pollen Distance, SE for Max Pollen Distance, Average Weighted Diversity of Fathers, SD for Weighted Diversity of Fathers, SE for Weighted Diversity of Fathers
0, 0.01, 14.3986217318132, 2.92443847062966, 0.281809196465332, 22.8499708449512, 3.71427325804497, 0.454587916961035, 2.09452007773448, 0.99684544488333, 0.0327435559693426
0, 0.03, 11.6263985522028, 2.4207314462222, 0.106333675977404, 24.9249623618835, 3.56617589713969, 0.230772005801898, 3.65522749682878, 1.26785874775558, 0.0291688526749034
0, 0.05, 10.2350255320551, 2.14508289048505, 0.0645271790181897, 23.8168859831859, 3.38477969819026, 0.160662801764046, 4.4898431797906, 1.373279321348, 0.0264467483322877
0, 0.07, 9.38626623944725, 2.00673428993873, 0.0476975308873434, 23.1638957544655, 3.26219318769135, 0.12604786889724, 5.10457578407971, 1.44802324948293, 0.024835174989572
0, 0.15, 6.52640157780908, 1.69592336234183, 0.0234993873018167, 14.9475029762191, 2.60323562242277, 0.0553695571840403, 5.05462717987643, 1.47028824608058, 0.0176623734859221
0, 0.1, 8.21629000990448, 1.87632444220815, 0.034937939823643, 20.2740006962143, 3.00810827522805, 0.0897983484412324, 5.43534921225713, 1.48146536780477, 0.0217803285834212
135, 0.01, 5.35017387241491, 1.74615315690791, 0.122750165094149, 6.772437165235, 2.04056377905451, 0.167632323585774, 1.38062091922979, 0.750588494410508, 0.022680949094535
135, 0.03, 4.72990465918086, 1.57507287083248, 0.0472308163667674, 7.70576446563249, 2.10033946144876, 0.0839852721415536, 2.10075313130543, 1.03296904351015, 0.0203141550494799
135, 0.05, 4.5069241089784, 1.47051561159617, 0.030869617627378, 8.33642439907416, 2.10041480324933, 0.0629799210499326, 2.69282164920118, 1.17319550320533, 0.0196486515254759
135, 0.07, 4.35392631343313, 1.38579129757721, 0.0229304606161409, 8.50533163490588, 2.06244390596543, 0.0507903739334714, 3.0964800220112, 1.2247239184903, 0.0179099147384017
