AMT, Density, Average Path Distance, SD for Path Distance, SE for Path Distance, Average Max Distance, SD for Max Distance, SE for Max Distance
0, 0.01, 423.4127649382, 102.360245564965, 1.02360245564965, 85.1965470836996, 18.7112580005785, 0.187112580005785,
0, 0.03, 191.637721536847, 52.0595801366516, 0.520595801366516, 56.739946834068, 20.9645767482059, 0.209645767482059,
0, 0.05, 126.80237423915, 36.0629898082721, 0.360629898082722, 40.44113462032, 16.9505758829981, 0.169505758829981,
0, 0.07, 97.0509775056499, 28.388229667974, 0.28388229667974, 31.40556369754, 13.61054060184, 0.1361054060184,
0, 0.15, 47.3463402530002, 19.217747363471, 0.19217747363471, 15.72429668479, 7.67860164908748, 0.0767860164908748,
0, 0.1, 71.3925332729701, 24.2311960302456, 0.242311960302456, 23.3921847270401, 10.8583943947749, 0.108583943947749,
135, 0.01, 513.915895145598, 221.365639623574, 2.21365639623574, 24.79898842366, 9.63825662291638, 0.0963825662291638,
135, 0.03, 240.126303722901, 115.884561962611, 1.15884561962611, 17.58334086247, 7.21300327122901, 0.0721300327122901,
135, 0.05, 152.6356214812, 71.0789644453459, 0.710789644453459, 14.37642060531, 5.80167413811626, 0.0580167413811626,
135, 0.07, 113.72485913495, 54.8960240638848, 0.548960240638848, 12.6248945533999, 5.19984455529508, 0.0519984455529508,
135, 0.15, 53.9692553282302, 27.9348075710908, 0.279348075710908, 8.96693520067997, 3.80942172595835, 0.0380942172595835,
135, 0.1, 81.4169413069502, 40.1611474584703, 0.401611474584703, 10.78925430161, 4.49704141302627, 0.0449704141302627,
15, 0.01, 424.8971217395, 102.984140981998, 1.02984140981998, 80.4283100338002, 19.8274595879137, 0.198274595879137,
15, 0.03, 191.974566442, 52.1912351846254, 0.521912351846254, 52.80551472873, 20.0672163676358, 0.200672163676358,
15, 0.05, 127.41329805735, 36.2223008678753, 0.362223008678753, 38.23062004939, 15.791925970403, 0.15791925970403,
15, 0.07, 97.2454817500505, 28.6587469888001, 0.286587469888001, 30.06455406493, 12.9428719562927, 0.129428719562927,
15, 0.15, 47.4485185240398, 19.4054777490901, 0.194054777490901, 15.44037039642, 7.44428052059589, 0.0744428052059589,
15, 0.1, 71.7525686089801, 23.8094511730147, 0.238094511730147, 22.64001100818, 10.2409373284125, 0.102409373284125,
180, 0.01, 554.384488268699, 262.781475316383, 2.62781475316383, 20.66566271687, 8.28835192006746, 0.0828835192006746,
180, 0.03, 258.556991202999, 144.297347779399, 1.44297347779399, 14.699514834, 6.10115514627477, 0.0610115514627477,
180, 0.05, 165.8560233444, 91.0263926032001, 0.910263926032001, 12.4358165587999, 5.21340029261567, 0.0521340029261567,
180, 0.07, 122.43254042693, 66.9476729503583, 0.669476729503583, 10.91261151394, 4.53242991978446, 0.0453242991978446,
180, 0.15, 56.3531875684701, 31.2102766053378, 0.312102766053378, 8.00399284103001, 3.3564181966164, 0.033564181966164,
180, 0.1, 86.4516588081503, 47.4508324689911, 0.474508324689911, 9.47797485490002, 4.01405785094846, 0.0401405785094846,
30, 0.01, 426.819460843999, 103.863848456842, 1.03863848456842, 66.6321187822, 20.3130194422572, 0.203130194422572,
30, 0.03, 192.8672256642, 54.3872113476803, 0.543872113476803, 43.8408289466198, 16.8003622164784, 0.168003622164784,
30, 0.05, 128.611935471, 37.2497922904536, 0.372497922904536, 33.0535954117699, 13.3609980446597, 0.133609980446597,
30, 0.07, 97.3620095794502, 29.3164879583527, 0.293164879583527, 26.68753407403, 11.1637967673696, 0.111637967673696,
30, 0.15, 47.7866381889404, 19.8188785164308, 0.198188785164308, 14.51213420073, 6.86115414728223, 0.0686115414728223,
30, 0.1, 71.90874713151, 24.1904135409067, 0.241904135409067, 20.5401363237599, 9.16811622328579, 0.0916811622328579,
45, 0.01, 429.082345904, 117.009053475333, 1.17009053475333, 53.8842361535499, 18.5493477179493, 0.185493477179493,
45, 0.03, 196.0701219638, 59.9204415505662, 0.599204415505662, 36.1475143691402, 14.0338750120973, 0.140338750120973,
45, 0.05, 129.387927948, 39.2441216482644, 0.392441216482644, 27.7263582291898, 11.0385907913217, 0.110385907913217,
45, 0.07, 97.2258904144003, 29.7994119564335, 0.297994119564335, 22.84622009158, 9.44454725590103, 0.0944454725590103,
45, 0.15, 47.9728670015702, 19.9562119916425, 0.199562119916425, 13.3596028408, 6.14830219044657, 0.0614830219044657,
